economy,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
IND,140.9,138.8,136.5,133.9,131.0,128.0,124.7,121.3,117.9,114.6,111.5,108.6,105.9,103.3,100.8,98.4,95.9,93.4,90.9,88.6,86.3,84.2,82.1,80.1,77.9,75.8,73.5,71.2,68.9,66.7,64.4,62.1,60.0,57.8,55.7,53.6,51.5,49.4,47.2,45.1,43.0,40.9,38.8,36.9,34.9,33.1,31.4,29.8,28.3,27.0
ITA,28.1,26.4,24.5,22.4,20.5,18.8,17.3,16.1,15.1,14.2,13.4,12.6,11.9,11.2,10.5,9.9,9.5,9.0,8.7,8.4,8.0,7.7,7.3,6.8,6.4,6.0,5.6,5.3,5.0,4.7,4.5,4.3,4.1,3.9,3.8,3.7,3.6,3.5,3.4,3.4,3.3,3.2,3.1,3.0,3.0,2.9,2.8,2.7,2.6,2.5
JPN,12.6,11.9,11.2,10.6,10.0,9.4,8.8,8.3,7.8,7.4,7.0,6.5,6.2,5.8,5.5,5.2,5.0,4.8,4.7,4.6,4.5,4.4,4.4,4.2,4.1,4.0,3.8,3.6,3.4,3.3,3.1,3.0,2.9,2.8,2.8,2.7,2.6,2.5,2.4,2.4,2.3,2.2,2.1,2.1,2.0,2.0,1.9,1.9,1.8,1.8
KOR,44.3,41.9,39.9,38.2,36.7,35.4,34.1,32.7,31.3,29.7,28.0,26.3,24.4,22.6,20.8,19.1,17.4,16.0,14.6,13.4,12.4,11.4,10.5,9.7,9.0,8.3,7.8,7.3,6.8,6.5,6.1,5.8,5.5,5.1,4.8,4.4,4.1,3.9,3.7,3.5,3.4,3.3,3.2,3.1,3.0,2.9,2.8,2.8,2.7,2.6
MEX,73.8,71.4,69.0,66.8,64.5,62.4,60.2,58.1,56.0,53.9,51.9,50.0,48.1,46.2,44.4,42.7,41.0,39.4,37.8,36.3,34.8,33.4,32.0,30.7,29.5,28.2,27.0,25.9,24.8,23.8,22.8,21.9,21.0,20.2,19.5,18.8,18.2,17.6,17.0,16.4,15.9,15.4,14.9,14.4,13.9,13.5,13.0,12.6,12.2,11.8
MYS,41.6,39.8,37.9,36.0,34.0,32.1,30.3,28.6,26.9,25.2,23.7,22.2,20.9,19.6,18.5,17.4,16.5,15.7,15.0,14.3,13.6,13.0,12.4,11.9,11.5,11.1,10.7,10.1,9.4,8.7,8.1,7.6,7.3,7.1,7.0,7.0,6.9,6.9,6.9,6.9,6.8,6.8,6.8,6.8,6.9,7.0,7.1,7.2,7.3,7.4
NGA,163.8,159.0,154.0,149.0,144.1,139.5,135.3,131.5,128.6,126.2,124.5,123.5,123.0,123.1,123.4,123.9,124.4,124.7,124.8,124.6,124.3,123.9,123.3,122.5,121.4,119.9,117.9,115.4,112.7,109.8,106.8,103.8,100.8,97.8,95.0,92.3,89.8,87.7,85.9,84.3,83.0,81.9,81.0,80.1,79.3,78.3,77.1,75.7,74.0,72.2
PAN,48.4,46.5,44.6,42.7,41.1,39.7,38.4,37.3,36.2,35.2,34.1,33.1,32.1,31.0,30.0,29.1,28.3,27.4,26.7,26.0,25.4,24.9,24.4,24.1,23.7,23.4,23.1,22.7,22.4,21.9,21.4,20.9,20.5,20.0,19.5,19.0,18.5,18.0,17.5,17.0,16.5,16.0,15.5,15.1,14.6,14.1,13.7,13.2,12.8,12.3
RUS,28.9,27.7,26.6,25.6,24.8,24.1,23.5,23.0,22.5,22.1,21.6,21.2,20.9,20.4,20.0,19.4,18.7,18.1,17.6,17.3,17.2,17.3,17.5,17.6,17.5,17.3,17.0,16.6,16.1,15.5,14.7,13.8,12.9,12.0,11.1,10.3,9.6,9.0,8.6,8.3,8.1,7.9,7.6,7.2,6.6,6.1,5.5,5.1,4.7,4.4
UKR,27.2,26.4,25.7,25.1,24.5,24.0,23.6,23.1,22.7,22.2,21.7,21.0,20.3,19.5,18.8,18.1,17.5,17.1,16.7,16.5,16.5,16.7,16.9,17.1,17.3,17.3,17.1,16.8,16.3,15.7,15.0,14.3,13.6,13.0,12.5,12.0,11.5,11.1,10.6,10.1,9.6,9.2,8.8,8.4,8.1,7.9,7.6,7.4,7.2,6.9
URY,47.2,47.2,47.9,48.7,48.9,48.2,46.1,42.9,39.0,35.0,31.6,29.0,27.3,26.0,25.1,24.2,23.1,22.0,20.9,20.1,19.5,19.0,18.7,18.4,17.9,17.4,16.7,16.0,15.3,14.8,14.4,14.1,13.7,13.2,12.5,11.7,11.0,10.3,9.7,9.3,8.9,8.6,8.3,8.0,7.6,7.2,6.8,6.3,5.8,5.3
USA,19.1,18.3,17.5,16.7,15.9,15.2,14.5,13.8,13.2,12.6,12.1,11.7,11.3,10.9,10.6,10.4,10.2,9.9,9.7,9.4,9.1,8.8,8.5,8.2,7.9,7.7,7.5,7.4,7.2,7.1,7.0,6.9,6.9,6.8,6.7,6.7,6.6,6.5,6.4,6.2,6.1,6.0,6.0,5.9,5.8,5.7,5.7,5.6,5.5,5.4
ZAF,,,,91.3,87.0,82.9,79.0,75.4,72.0,68.8,65.7,62.9,60.3,57.9,55.6,53.5,51.6,49.8,48.2,46.9,45.9,45.3,45.2,45.4,45.8,46.3,46.6,46.9,47.5,47.7,47.8,47.9,48.4,49.4,49.4,48.7,46.6,43.0,38.4,34.4,32.1,31.0,30.1,29.4,28.6,28.0,27.6,26.9,26.3,25.8
